Name,Code,Latitude,Longitude,Average Income
(pseudo) Channel Islands,L99999999,0,0,
(pseudo) Isle of Man,M99999999,0,0,
(pseudo) Northern Ireland,N99999999,54.604099,-6.380930,
"Abberley, Holt Heath & Hallow",E02006711,52.272301,-2.323990,48800
Abbey Field,E02004518,51.881802,0.887140,57900
Abbey Hey,E02001065,53.463001,-2.161810,34100
Abbey Hulton,E02002962,53.034199,-2.139770,30700
Abbey Park,E02002834,52.645500,-1.142460,40200
Abbey Park,E02006848,51.600498,-1.815630,52600
Abbey Road,E02000961,51.534000,-0.183717,67400
Abbey Wood North,E02000315,51.493500,0.113955,43800
Abbey Wood South,E02000320,51.486401,0.113826,51600
Abbeyhill,S02001624,55.955200,-3.168960,
Abbeymead & Abbeydale,E02004645,51.842999,-2.200070,54500
"Abbots Bromley, Yoxall & Marchington",E02006136,52.827801,-1.835760,50300
Abbots Langley,E02004956,51.712799,-0.425932,54500
Abbotsmead & Salthouse,E02003983,54.114399,-3.209040,29000
Abbotswood & West Wellow,E02004826,50.989201,-1.539000,58300
Abbott Road & Pleasley Hill,E02005885,53.158798,-1.226820,35800
Aber Valley,W02000307,51.601200,-3.272540,33100
Aberaeron & Llanrhystud,W02000120,52.255402,-4.191750,36900
Aberafan,W02000215,51.594799,-3.798460,32600
Aberaman,W02000256,51.696499,-3.428010,32600
Aberbargoed & Gilfach,W02000292,51.688202,-3.223630,34100
Aberchirder and Whitehills,S02001325,57.599602,-2.606820,
Abercynon,W02000263,51.649899,-3.332710,33900
Aberdare East & Cwm-bach,W02000255,51.710201,-3.421820,35200
Aberdare North & Llwydcoed,W02000253,51.723099,-3.455810,36200
Aberdare West,W02000254,51.714401,-3.456350,37200
Aberdour and Auchtertool,S02001779,56.072102,-3.309160,
Aberdulais & Resolfen,W02000203,51.695999,-3.736020,35000
"Aberford, Barwick & Thorner",E02002359,53.833302,-1.380920,53900
Abergavenny North,W02000337,51.830200,-3.013310,36100
Abergavenny South & Crucorney,W02000336,51.838200,-3.004220,40900
Abergele,W02000036,53.285500,-3.580440,33400
"Abergwili, Llanegwad & Carmel",W02000146,51.896198,-4.141160,41500
"Abermule, Churchstoke & Kerry",W02000103,52.523201,-3.199100,38800
Abersoch & Aberdaron,W02000023,52.843300,-4.566320,36300
Abersychan,W02000324,51.733299,-3.066400,34200
Abertillery North & Cwmtillery,W02000321,51.735600,-3.136300,34000
Abertillery South & Llanhilleth,W02000322,51.707199,-3.134030,31300
Aberuthven and Almondbank,S02002227,56.371498,-3.614650,
Aberystwyth North,W02000117,52.415699,-4.079800,34600
Aberystwyth South,W02000118,52.406898,-4.069010,37400
Abingdon Audlett Drive & Farm Road,E02005982,51.678699,-1.272000,65600
Abingdon Northcourt & Peachcroft,E02005981,51.685299,-1.268070,71900
Abingdon South,E02005985,51.663601,-1.291800,55000
Abingdon Town & West,E02005983,51.671398,-1.285990,56400
Abington,E02005671,52.243900,-0.874273,47000
Abington Vale,E02005669,52.245499,-0.849624,56400
Aboyne and South Deeside,S02001286,57.054401,-2.704490,
Abram & Bickershaw,E02001312,53.511902,-2.578590,38400
Abronhill North,S02002205,55.962898,-3.949160,
Abronhill South,S02002204,55.955399,-3.955340,
Accrington North East,E02005215,53.759499,-2.358830,34700
Accrington South East,E02005219,53.749001,-2.359290,39000
Accrington West,E02005217,53.750599,-2.375680,29900
Acklam,E02002507,54.547100,-1.247100,42800
Ackworth & Darrington,E02002471,53.649101,-1.316230,50200
Acle & Reedham,E02005537,52.612701,1.554290,40800
Acocks Green East,E02001915,52.450100,-1.817870,40000
Acocks Green West,E02001916,52.447201,-1.836850,35800
Acomb,E02002783,53.962799,-1.128750,42400
Acre Lane,E02000632,51.461601,-0.125696,78200
Acton & Maes-y-dre,W02000086,53.055401,-2.984460,40400
